hs_object_id,name,domain,industry,hubspot_owner_id,createdate,hs_lastmodifieddate,properties
HS-COMP-000001,North Capital 1,client001.example.com,EdTech,HS-OWN-0005,2024-08-29 04:19:59,2026-03-08 07:54:21,"{""service_line_tags"":[""Analytics""],""contract_type"":""Hybrid"",""retainer_value"":18279.81,""renewal_date"":""2025-08-29""}"
HS-COMP-000002,North Retail 2,client002.example.com,E-commerce,HS-OWN-0006,2025-12-13 15:17:25,2026-01-13 15:21:23,"{""service_line_tags"":[""SEO""],""contract_type"":""Hybrid"",""retainer_value"":12008.82,""renewal_date"":""2026-12-13""}"
HS-COMP-000003,Bright Labs 3,client003.example.com,Real Estate,HS-OWN-0008,2025-01-16 20:05:20,2025-04-01 23:00:46,"{""service_line_tags"":[""SEO"",""Web Dev"",""Analytics""],""contract_type"":""Project"",""retainer_value"":21568.62,""renewal_date"":""2027-01-16""}"
HS-COMP-000004,Nova Retail 4,client004.example.com,Real Estate,HS-OWN-0002,2025-05-30 12:30:50,2025-09-21 09:08:00,"{""service_line_tags"":[""Social""],""contract_type"":""Hybrid"",""retainer_value"":16416.69,""renewal_date"":""2026-05-30""}"
HS-COMP-000005,Prime Health 5,client005.example.com,FinTech,HS-OWN-0006,2024-09-20 18:03:45,2025-05-03 12:38:42,"{""service_line_tags"":[""Content""],""contract_type"":""Retainer"",""retainer_value"":21744.65,""renewal_date"":""2025-03-19""}"
HS-COMP-000006,Blue Digital 6,client006.example.com,Real Estate,HS-OWN-0003,2024-12-28 16:27:24,2025-06-09 09:57:02,"{""service_line_tags"":[""Social"",""Paid Media"",""Analytics""],""contract_type"":""Hybrid"",""retainer_value"":8507.0,""renewal_date"":""2026-12-28""}"
HS-COMP-000007,Nova Retail 7,client007.example.com,Real Estate,HS-OWN-0006,2025-03-21 18:53:08,2025-08-16 03:39:59,"{""service_line_tags"":[""Paid Media""],""contract_type"":""Project"",""retainer_value"":24764.28,""renewal_date"":""2027-03-21""}"
HS-COMP-000008,North Digital 8,client008.example.com,Real Estate,HS-OWN-0006,2025-12-26 01:14:29,2025-12-29 04:02:25,"{""service_line_tags"":[""Social""],""contract_type"":""Project"",""retainer_value"":11526.21,""renewal_date"":""2026-06-24""}"
HS-COMP-000009,North Retail 9,client009.example.com,Real Estate,HS-OWN-0009,2025-04-19 12:04:33,2025-09-20 03:37:56,"{""service_line_tags"":[""Content"",""Social"",""Email""],""contract_type"":""Hybrid"",""retainer_value"":12824.17,""renewal_date"":""2026-04-19""}"
HS-COMP-000010,Nova Capital 10,client010.example.com,SaaS,HS-OWN-0001,2025-02-23 12:18:58,2025-12-30 17:40:52,"{""service_line_tags"":[""Paid Media""],""contract_type"":""Project"",""retainer_value"":7434.72,""renewal_date"":""2025-08-22""}"
HS-COMP-000011,Prime Capital 11,client011.example.com,EdTech,HS-OWN-0008,2025-07-28 02:10:22,2025-09-28 05:18:47,"{""service_line_tags"":[""Content"",""Email"",""SEO""],""contract_type"":""Hybrid"",""retainer_value"":11998.6,""renewal_date"":""2026-01-24""}"
